product_code,product_name,category,disposition,review_reason,approval_action,product_id,warehouse_id,gap,expected_adjustment_sum,actual_stock,proposed_quantity_change,correction_id,reason_breakdown,as_of_day
0000,折讓,Non-Merchandise,actionable,,apply,00c36dc5-1f5e-5001-9059-20de0581a7ea,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-18470,-22797,-4327,18470,375d2e51-6213-5ca7-a720-6d4312ae1657,"SALES_RESERVATION=-22809, SUPPLIER_DELIVERY=12",2026-04-17
PP0103,平面帶 1*3P,Flat / Specialty Belts,actionable,,apply,14d1168c-6c89-5ab1-af15-d9b3f0c3ae78,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-17409,-17409,0,17409,4f3efe4b-596e-5a9a-a1be-313153e1a280,"SALES_RESERVATION=-71463, SUPPLIER_DELIVERY=54054",2026-04-17
PM038,三角皮帶 M-38,V-Belts,actionable,,apply,dfd0f64f-04dd-53c7-890b-cbcc6f61d392,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-13222,-12124,1098,13222,49497fdd-eff0-57e5-9b32-ab8caef47d50,"SALES_RESERVATION=-388336, SUPPLIER_DELIVERY=376212",2026-04-17
PP0143,平面帶 11/2*3P,Flat / Specialty Belts,actionable,,apply,cb9327f6-c2d1-5656-9476-866a04b3d59a,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-8866,-8773,93,8866,52f12a5f-bcba-5a51-ad28-825603824522,"SALES_RESERVATION=-27897, SUPPLIER_DELIVERY=19124",2026-04-17
PP0203,平面帶 2*3P,Flat / Specialty Belts,actionable,,apply,a6e7dccc-f49a-525b-9623-5d11c27a84fd,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-8431,-8431,0,8431,13485f3c-3ee8-5254-ab80-608e3e39e11a,"SALES_RESERVATION=-101161, SUPPLIER_DELIVERY=92730",2026-04-17
